ID,Name,Pos,Price,Team,xPts GW37-38,xPts +2 per sub,xPts +2 per sub with 0.86 decay,GW xMins,38,xPts if play,38,Probability to play,38,xPts,38,npG,38
106,Mee,DEF,4.6,BUR,0.872913183,2.346597393,2.346597393,,22.63157895,,3.317070094,,0.263157895,,0.872913183,,0.067826611
245,Tsimikas,DEF,3.7,LIV,0.632762209,2.316972736,2.316972736,,11.84210526,,4.007493992,,0.157894737,,0.632762209,,0.031665539
71,Lamptey,DEF,4.5,BHA,2.100118396,2.310644712,2.310644712,,47.21428571,,2.347191149,,0.894736842,,2.100118396,,0.023458337
184,Cooper,DEF,4.4,LEE,2.241888963,2.294520542,2.294520542,,83.66666667,,2.302480557,,0.973684211,,2.241888963,,0.027526183
219,L Thomas,DEF,4.3,LEI,1.131508266,2.289403003,2.289403003,,36.21052632,,2.687332133,,0.421052632,,1.131508266,,0.018136489
194,Koch,DEF,4.3,LEE,2.184731268,2.263678636,2.263678636,,76.5,,2.274514745,,0.960526316,,2.184731268,,0.044196217
342,Walker-Peters,DEF,4.8,SOU,2.181611735,2.223716999,2.223716999,,84.98571429,,2.228528117,,0.978947368,,2.181611735,,0.031591127
208,Amartey,DEF,4,LEI,1.151680895,2.204312474,2.204312474,,37.78571429,,2.431326333,,0.473684211,,1.151680895,,0.008218388
374,Rodon,DEF,4.2,TOT,0.721843167,2.195527377,2.195527377,,15.78947368,,2.743004034,,0.263157895,,0.721843167,,0.016922167
463,Firpo,DEF,4.7,LEE,2.061440454,2.166703612,2.166703612,,70.35714286,,2.175964924,,0.947368421,,2.061440454,,0.052943065
133,Christensen,DEF,4.6,CHE,0.321889698,2.163994961,2.163994961,,6.631578947,,4.077269506,,0.078947368,,0.321889698,,0.024427089
14,Holding,DEF,4.1,ARS,0.790516645,2.158937697,2.158937697,,14.21052632,,2.503302708,,0.315789474,,0.790516645,,0.020139291
217,Soyuncu,DEF,4.9,LEI,0.465290267,2.149500794,2.149500794,,13.89473684,,2.94683836,,0.157894737,,0.465290267,,0.048844519
89,Roerslev,DEF,4.1,BRE,1.242247854,2.136984696,2.136984696,,33.15789474,,2.24787707,,0.552631579,,1.242247854,,0.015396341
474,J Ward,DEF,4.5,CRY,0.65917643,2.132860641,2.132860641,,23.68421053,,2.504870435,,0.263157895,,0.65917643,,0.010370477
110,Lowton,DEF,4.4,BUR,0.337316947,2.126790631,2.126790631,,8.842105263,,3.204510998,,0.105263158,,0.337316947,,0.023134749
56,Duffy,DEF,4,BHA,0.321370021,2.110843705,2.110843705,,8.421052632,,3.053015197,,0.105263158,,0.321370021,,0.068726627
425,Johnson,DEF,3.9,WHU,1.054799245,2.107430824,2.107430824,,35.52631579,,2.226798407,,0.473684211,,1.054799245,,0.006801218
